State,Year,Party,Candidate,Votes
SD,2004,Republican,Bush,232584
SD,2008,Republican,Mccain,203054
SD,2012,Republican,Romney,210610
SD,2016,Republican,Trump,227721
SD,2020,Republican,Trump,261043
SD,2024,Republican,Trump,272081
TN,2004,Republican,Bush,1384375
TN,2008,Republican,Mccain,1479178
TN,2012,Republican,Romney,1462330
TN,2016,Republican,Trump,1522925
TN,2020,Republican,Trump,1852475
TN,2024,Republican,Trump,1965848
TX,2004,Republican,Bush,4526917
TX,2008,Republican,Mccain,4479328
TX,2012,Republican,Romney,4569843
TX,2016,Republican,Trump,4685047
TX,2020,Republican,Trump,5890347
TX,2024,Republican,Trump,6393597
UT,2004,Republican,Bush,663742
UT,2008,Republican,Mccain,596030
UT,2012,Republican,Romney,740600
UT,2016,Republican,Trump,515231
UT,2020,Republican,Trump,865140
UT,2024,Republican,Trump,883818
VA,2004,Republican,Bush,1716959
VA,2008,Republican,Mccain,1725005
VA,2012,Republican,Romney,1822522
VA,2016,Republican,Trump,1769443
VA,2020,Republican,Trump,1962430
VA,2024,Republican,Trump,2011637
VT,2004,Republican,Bush,121180
VT,2008,Republican,Mccain,98974
VT,2012,Republican,Romney,92698
VT,2016,Republican,Trump,95369
VT,2020,Republican,Trump,112704
VT,2024,Republican,Trump,119395
WA,2004,Republican,Bush,1304894
WA,2008,Republican,Mccain,1229216
WA,2012,Republican,Romney,1290670
WA,2016,Republican,Trump,1221747
WA,2020,Republican,Trump,1584651
WA,2024,Republican,Trump,1530923
WI,2004,Republican,Bush,1478120
WI,2008,Republican,Mccain,1262393
WI,2012,Republican,Romney,1407966
WI,2016,Republican,Trump,1405284
WI,2020,Republican,Trump,1610184
WI,2024,Republican,Trump,1697298
WV,2004,Republican,Bush,423778
WV,2008,Republican,Mccain,397466
WV,2012,Republican,Romney,417655
WV,2016,Republican,Trump,489371
WV,2020,Republican,Trump,545382
WV,2024,Republican,Trump,533556
WY,2004,Republican,Bush,167629
WY,2008,Republican,Mccain,164958
WY,2012,Republican,Romney,170962
WY,2016,Republican,Trump,174419
WY,2020,Republican,Trump,193559
WY,2024,Republican,Trump,192633
